school_name,Type,Grades,Location in Hamilton,year,enrolment,capacity,utilization_rate,portables,Site Acres,Building Gross (Ft2),gym,gym with stage,Number of gyms,Computer lab,Childcare Centre on site,auditorium,rec_centre,pool,Library,Cafeteria , Document 
Spencer Valley,Middle,(6-8),West Flamborough,2017,172,248,0.69,0,8.34,"35,000",Yes ,Yes,1,Yes ,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
Spencer Valley,Middle,(6-8),West Flamborough,2022,172,248,0.69,0,8.34,"35,000",Yes ,Yes,1,Yes ,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, West Flamborough ARC Appendix PDF"
New Spencer Valley,Elementary,(JK-8),West Flamborough,2020,,381,,,,"46,000",,,,,,,,,,,New-Greensville-Construction-Update pdf
Cardinal Heights,Middle,(6-8),Central Mountain,2012,318,308,1.03,0,9.2,"38,542",Yes,Yes,1,No,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Closed in 2015 (refer to 'Properties sold since 1998É pdf') also Central Mountain ARC Report pdf"
Cardinal Heights,Middle,(6-8),Central Mountain,2017,279,308,0.9,0,9.2,"38,542",Yes,Yes,1,No,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf"
Cardinal Heights,Middle,(6-8),Central Mountain,2022,302,308,0.98,0,9.2,"38,542",Yes,Yes,1,No,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf"
Eastmount Park,Elementary,(JK-6),Central Mountain,2012,219,348,0.63,0,1.7,"29,196",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Closed in 2015 (refer to 'Properties sold since 1998É pdf') also Central Mountain ARC Report pdf"
Eastmount Park,Elementary,(JK-6),Central Mountain,2017,210,348,0.6,0,1.7,"29,196",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Eastmount Park,Elementary,(JK-6),Central Mountain,2022,208,348,0.6,0,1.7,"29,196",Yes,Yes,1,Yes,Yes,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
Franklin Road,Elementary,(JK-8),Central Mountain,2012,351,463,0.76,0,7.75,"37,416",Yes,No,1,Yes,No,No,No,No,Yes,No,"Board-Report-re-Elementary-ARCs.pdf, Central Mountain ARC Report pdf, Central Mountain ARC Report pdf"
